a, b, c, offset_x, offset_y, offset_z
0.025, 0.025, 0.025, 0.0780049, 0.0618204, 0.17555
0.025, 0.025, 0.025, 0.0774117, 0.059422, 0.149212
0.025, 0.025, 0.025, 0.0618552, 0.0551216, 0.128252
0.025, 0.025, 0.025, 0.037036, 0.0504951, 0.120351
0.025, 0.025, 0.025, 0.0391023, 0.0612087, 0.239064
0.025, 0.025, 0.025, 0.0639667, 0.0644124, 0.230619
0.025, 0.025, 0.025, 0.0796404, 0.065034, 0.209318
0.025, 0.025, 0.025, 0.0803797, 0.0628457, 0.182965
0.025, 0.025, 0.025, 0.0844252, 0.0665307, 0.217753
0.025, 0.025, 0.025, 0.0998329, 0.0670931, 0.196257
0.025, 0.025, 0.025, 0.100241, 0.064852, 0.169901
0.025, 0.025, 0.025, 0.0855007, 0.0606288, 0.148344
0.025, 0.025, 0.025, 0.109064, 0.0665945, 0.173827
0.028, 0.025, 0.025, 0.109142, 0.0643011, 0.147473
0.031, 0.025, 0.052, 0.0941292, 0.0600516, 0.12611
0.025, 0.025, 0.025, 0.0695279, 0.0554034, 0.117567
0.04, 0.026, 0.028, 0.103627, 0.0613756, 0.124029
0.025, 0.025, 0.025, 0.0883449, 0.0571007, 0.102863
0.025, 0.025, 0.025, 0.0636341, 0.0524628, 0.0946366
0.025, 0.025, 0.025, 0.0385502, 0.0491614, 0.102364
0.025, 0.025, 0.025, 0.106925, 0.0683797, 0.198109
0.025, 0.025, 0.025, 0.122869, 0.069062, 0.177011
0.025, 0.025, 0.025, 0.123948, 0.0669281, 0.150665
0.033, 0.026, 0.025, 0.109766, 0.06276, 0.128726
0.025, 0.025, 0.025, 0.132665, 0.0686738, 0.154819
0.025, 0.025, 0.025, 0.133413, 0.0664868, 0.128467
0.025, 0.025, 0.033, 0.118955, 0.0622912, 0.106715
0.032, 0.025, 0.048, 0.0945875, 0.0576243, 0.0975344
0.025, 0.025, 0.025, 0.128499, 0.063644, 0.10488
0.025, 0.034, 0.026, 0.113766, 0.0594215, 0.083318
0.025, 0.025, 0.033, 0.0892811, 0.0547634, 0.0744515
0.025, 0.025, 0.025, 0.0640176, 0.0513768, 0.0815294
0.034, 0.025, 0.028, 0.0960146, 0.0552078, 0.067327
0.025, 0.025, 0.025, 0.0714163, 0.0505593, 0.0587756
0.025, 0.025, 0.025, 0.0462394, 0.0472145, 0.0661745
0.025, 0.025, 0.025, 0.0297099, 0.0463991, 0.0868124
0.025, 0.025, 0.025, 0.140354, 0.0673652, 0.125927
0.025, 0.025, 0.025, 0.141772, 0.0652861, 0.0995935
0.025, 0.025, 0.025, 0.127876, 0.061147, 0.0774667
0.025, 0.03, 0.025, 0.103759, 0.0564646, 0.0676555
0.025, 0.025, 0.025, 0.137461, 0.0625278, 0.0758789
0.025, 0.025, 0.025, 0.123286, 0.0583604, 0.0539352
0.025, 0.025, 0.025, 0.0990441, 0.0536853, 0.0444347
0.025, 0.025, 0.025, 0.0736176, 0.0502157, 0.0508587
0.025, 0.025, 0.025, 0.105954, 0.054173, 0.0374844
0.025, 0.025, 0.025, 0.0815903, 0.0495059, 0.028296
0.025, 0.025, 0.025, 0.0562422, 0.0460769, 0.0350433
0.025, 0.025, 0.025, 0.0391988, 0.0451427, 0.0552537
0.025, 0.025, 0.025, 0.0578437, 0.0454854, 0.0253799
0.025, 0.025, 0.025, 0.0325779, 0.0420978, 0.0324493
0.025, 0.025, 0.025, 0.0157868, 0.0412221, 0.0528724
0.025, 0.025, 0.025, 0.0136234, 0.0431794, 0.079165
0.025, 0.025, 0.025, -0.0345592, 0.0338916, 0.235659
0.025, 0.025, 0.025, -0.0119551, 0.0459881, 0.242181
0.025, 0.025, 0.025, 0.010392, 0.0565591, 0.232765
0.025, 0.025, 0.025, 0.0242929, 0.0617308, 0.21086
0.025, 0.025, 0.025, 0.00964285, 0.0570322, 0.242538
0.025, 0.025, 0.025, 0.0318926, 0.0675263, 0.23281
0.025, 0.025, 0.025, 0.0455511, 0.0725583, 0.21072
0.025, 0.025, 0.025, 0.0456131, 0.070284, 0.184365
0.025, 0.025, 0.025, 0.0500638, 0.0755745, 0.218896
0.025, 0.025, 0.025, 0.0634777, 0.0804659, 0.196626
0.025, 0.025, 0.025, 0.0632409, 0.0780406, 0.170284
0.025, 0.025, 0.025, 0.0494404, 0.0691874, 0.149524
0.025, 0.025, 0.025, 0.0712952, 0.0824503, 0.173745
0.025, 0.025, 0.025, 0.0707598, 0.0798744, 0.147422
0.025, 0.025, 0.025, 0.0567181, 0.0709164, 0.12687
0.025, 0.025, 0.025, 0.0343157, 0.058859, 0.11962
0.025, 0.025, 0.025, 0.0361808, 0.0701912, 0.238278
0.025, 0.025, 0.025, 0.058624, 0.0808393, 0.229182
0.025, 0.025, 0.025, 0.0727715, 0.0861536, 0.20747
0.025, 0.025, 0.025, 0.0734388, 0.0841866, 0.181098
0.025, 0.025, 0.025, 0.0770903, 0.0890829, 0.21578
0.025, 0.025, 0.025, 0.0909976, 0.0942582, 0.19388
0.025, 0.025, 0.025, 0.0913662, 0.0921394, 0.167514
0.025, 0.025, 0.025, 0.0780611, 0.0835029, 0.146343
0.025, 0.025, 0.025, 0.0993302, 0.0965235, 0.171208
0.025, 0.025, 0.025, 0.0994001, 0.0942533, 0.144852
0.025, 0.025, 0.025, 0.0858493, 0.0855091, 0.123882
0.025, 0.025, 0.025, 0.0636437, 0.0734953, 0.115984
0.025, 0.025, 0.025, 0.0944225, 0.0896768, 0.121553
0.025, 0.025, 0.025, 0.0806283, 0.0808264, 0.100788
0.025, 0.025, 0.025, 0.0583238, 0.0687901, 0.0932082
0.025, 0.025, 0.025, 0.0356824, 0.0579787, 0.101592
0.025, 0.025, 0.025, 0.0973994, 0.0976683, 0.195547
0.025, 0.025, 0.025, 0.111791, 0.103124, 0.174031
0.025, 0.025, 0.025, 0.112765, 0.101313, 0.147657
0.025, 0.025, 0.025, 0.0999637, 0.0928992, 0.12609
0.025, 0.025, 0.025, 0.120633, 0.105669, 0.151583
0.025, 0.025, 0.025, 0.121308, 0.103706, 0.12521
0.025, 0.025, 0.025, 0.108257, 0.0951813, 0.103837
0.025, 0.025, 0.025, 0.086263, 0.083219, 0.0952952
0.025, 0.025, 0.025, 0.116872, 0.0993918, 0.101752
0.025, 0.025, 0.025, 0.103574, 0.0907581, 0.0805764
0.025, 0.025, 0.025, 0.0814734, 0.0787694, 0.0723512
0.025, 0.025, 0.025, 0.0586699, 0.067819, 0.0800909
0.025, 0.025, 0.025, 0.0875512, 0.0812298, 0.0650504
0.025, 0.025, 0.025, 0.0653482, 0.0692166, 0.0571433
0.025, 0.025, 0.025, 0.0426229, 0.0583339, 0.0652017
0.025, 0.025, 0.025, 0.027703, 0.0525697, 0.0862725
0.025, 0.025, 0.025, 0.127573, 0.106662, 0.122489
0.025, 0.025, 0.025, 0.128853, 0.105008, 0.0961183
0.025, 0.025, 0.025, 0.11631, 0.0967082, 0.0743555
0.025, 0.025, 0.025, 0.0945418, 0.0848053, 0.065176
0.025, 0.025, 0.025, 0.124962, 0.100959, 0.0725166
0.025, 0.025, 0.025, 0.112167, 0.0925475, 0.0509443
0.025, 0.025, 0.025, 0.0902857, 0.0806143, 0.0420787
0.025, 0.025, 0.025, 0.0673351, 0.0695321, 0.0491688
0.025, 0.025, 0.025, 0.096523, 0.0831709, 0.0349474
0.025, 0.025, 0.025, 0.0745315, 0.0712093, 0.0263972
0.025, 0.025, 0.025, 0.0516517, 0.0601912, 0.0338084
0.025, 0.025, 0.025, 0.0362679, 0.0541542, 0.0544653
0.025, 0.025, 0.025, 0.0530972, 0.0600792, 0.0241031
0.025, 0.025, 0.025, 0.0302917, 0.049127, 0.0318344
0.025, 0.025, 0.025, 0.0151356, 0.0432241, 0.0526972
0.025, 0.025, 0.025, 0.0131829, 0.0445337, 0.0790465
