a, b, c, offset_x, offset_y, offset_z
0.01, 0.01, 0.01, 0.0843856, 0.0327059, 0.118829
0.055, 0.013, 0.01, 0.051703, 0.0178612, 0.111813
0.041, 0.014, 0.01, 0.0267213, 0.0122286, 0.0856993
0.01, 0.01, 0.01, 0.0596413, 0.017796, 0.126848
0.01, 0.01, 0.01, 0.0269224, 0.00277896, 0.12039
0.01, 0.01, 0.01, 0.00160432, -0.00313341, 0.0946652
0.01, 0.01, 0.01, -0.00668159, 0.00230801, 0.0594591
0.01, 0.01, 0.01, 0.126648, 0.103626, -0.00813698
0.01, 0.01, 0.01, 0.139371, 0.084897, 0.020587
0.017, 0.012, 0.011, 0.130965, 0.0593297, 0.0453537
0.031, 0.01, 0.01, 0.104627, 0.0366503, 0.0567413
0.01, 0.01, 0.01, 0.145799, 0.0675546, 0.0441841
0.01, 0.01, 0.01, 0.137927, 0.0420445, 0.0691839
0.027, 0.01, 0.012, 0.111944, 0.0191716, 0.080994
0.069, 0.01, 0.01, 0.077736, 0.00763727, 0.0751215
0.01, 0.01, 0.01, 0.127472, 0.0209054, 0.0876972
0.01, 0.01, 0.01, 0.101852, -0.00215503, 0.0999267
0.048, 0.018, 0.01, 0.0676953, -0.0140569, 0.0945067
0.058, 0.01, 0.01, 0.0379953, -0.0102726, 0.0734991
0.01, 0.01, 0.01, 0.0782988, -0.0194416, 0.106657
0.028, 0.01, 0.01, 0.0442017, -0.031708, 0.101691
0.018, 0.011, 0.019, 0.0142299, -0.0283322, 0.0810023
0.01, 0.01, 0.01, -0.000214918, -0.0105985, 0.0524612
0.01, 0.01, 0.01, 0.123232, 0.110965, 0.00152568
0.01, 0.01, 0.01, 0.140111, 0.0833086, 0.0184957
0.01, 0.01, 0.01, 0.13516, 0.0503156, 0.0334854
0.01, 0.01, 0.01, 0.110265, 0.0245369, 0.0407923
0.01, 0.01, 0.01, 0.149925, 0.0586888, 0.0325111
0.01, 0.01, 0.01, 0.145545, 0.0256744, 0.0476306
0.029, 0.016, 0.01, 0.121068, -0.000431485, 0.055184
0.01, 0.01, 0.01, 0.0858036, -0.00969766, 0.0522978
0.01, 0.01, 0.01, 0.137647, -0.000957066, 0.0589125
0.019, 0.011, 0.01, 0.113594, -0.0273834, 0.0667104
0.01, 0.01, 0.01, 0.0784454, -0.0371556, 0.0640943
0.01, 0.01, 0.01, 0.0455737, -0.0265563, 0.0520595
0.01, 0.01, 0.01, 0.0908405, -0.0463898, 0.0711765
0.01, 0.01, 0.01, 0.055817, -0.0566656, 0.0688312
0.01, 0.01, 0.01, 0.022717, -0.0465682, 0.0569923
0.01, 0.01, 0.01, 0.00413204, -0.0199388, 0.0401635
0.01, 0.01, 0.01, 0.151424, 0.0343504, -0.00980476
0.01, 0.01, 0.01, 0.152109, 0.0415139, 0.0260554
