a, b, c, offset_x, offset_y, offset_z
0.01, 0.01, 0.01, 0.0639667, -0.0471451, 0.23213
0.015, 0.012, 0.01, 0.0796404, -0.0428339, 0.21126
0.032, 0.019, 0.015, 0.0803797, -0.0404129, 0.184927
0.01, 0.01, 0.01, 0.0844252, -0.0428248, 0.219827
0.01, 0.01, 0.01, 0.0998328, -0.0385381, 0.198755
0.03, 0.01, 0.01, 0.100241, -0.0361685, 0.172411
0.033, 0.021, 0.011, 0.0855007, -0.0365844, 0.150448
0.017, 0.034, 0.01, 0.109064, -0.0351343, 0.176579
0.031, 0.011, 0.011, 0.109142, -0.0328165, 0.150227
0.052, 0.015, 0.013, 0.0941292, -0.0332917, 0.128451
0.034, 0.014, 0.01, 0.0695279, -0.0363858, 0.11923
0.055, 0.01, 0.01, 0.103627, -0.0316265, 0.126632
0.052, 0.011, 0.01, 0.0883449, -0.0321612, 0.105045
0.028, 0.013, 0.011, 0.0636341, -0.0353001, 0.0961382
0.01, 0.01, 0.01, 0.0385502, -0.039893, 0.103175
0.01, 0.01, 0.01, 0.106925, -0.0375927, 0.200802
0.01, 0.01, 0.01, 0.122869, -0.0332571, 0.180143
0.012, 0.028, 0.01, 0.123948, -0.0307837, 0.153827
0.037, 0.01, 0.019, 0.109766, -0.0310789, 0.131498
0.01, 0.01, 0.01, 0.132665, -0.029786, 0.158222
0.01, 0.01, 0.01, 0.133413, -0.0273636, 0.13189
0.026, 0.012, 0.01, 0.118955, -0.0277183, 0.109739
0.055, 0.01, 0.047, 0.0945875, -0.0307201, 0.0998883
0.016, 0.016, 0.01, 0.128499, -0.0260674, 0.108167
0.029, 0.011, 0.01, 0.113766, -0.0264816, 0.0861999
0.052, 0.01, 0.01, 0.0892812, -0.0295292, 0.0766592
0.032, 0.01, 0.03, 0.0640176, -0.0340935, 0.0830415
0.048, 0.01, 0.013, 0.0960147, -0.0278545, 0.0697201
0.038, 0.01, 0.034, 0.0714164, -0.0309474, 0.0604914
0.016, 0.01, 0.022, 0.0462394, -0.0355262, 0.0671971
0.01, 0.01, 0.01, 0.0297099, -0.0399129, 0.0873799
0.01, 0.01, 0.01, 0.140354, -0.0260577, 0.129541
0.01, 0.01, 0.01, 0.141772, -0.0235323, 0.103247
0.01, 0.01, 0.01, 0.127876, -0.0237663, 0.0807371
0.034, 0.011, 0.01, 0.103759, -0.0266738, 0.0702619
0.01, 0.01, 0.01, 0.137461, -0.0221307, 0.0794133
0.01, 0.01, 0.01, 0.123287, -0.0224243, 0.0570793
0.01, 0.01, 0.01, 0.0990441, -0.0253786, 0.0469112
0.041, 0.01, 0.011, 0.0736176, -0.0299111, 0.0526352
0.01, 0.01, 0.01, 0.105954, -0.0236915, 0.0401512
0.01, 0.01, 0.01, 0.0815904, -0.0266921, 0.0302919
0.01, 0.01, 0.01, 0.0562422, -0.0312406, 0.0363413
0.01, 0.01, 0.01, 0.0391988, -0.0356702, 0.0560824
0.01, 0.01, 0.01, 0.0578437, -0.0301451, 0.026722
0.01, 0.01, 0.01, 0.032578, -0.0347089, 0.0330958
0.01, 0.01, 0.01, 0.0157868, -0.0391177, 0.0530565
0.01, 0.01, 0.01, 0.0136234, -0.0417558, 0.0792895
0.01, 0.01, 0.01, -0.0345593, -0.0780773, 0.231793
0.01, 0.01, 0.01, -0.0119552, -0.0672972, 0.240317
0.01, 0.01, 0.01, 0.0103919, -0.0552516, 0.232879
0.01, 0.01, 0.01, 0.0242928, -0.0463547, 0.212205
0.01, 0.01, 0.01, 0.00964279, -0.0564828, 0.242586
0.01, 0.01, 0.01, 0.0318926, -0.0444589, 0.234828
0.01, 0.01, 0.01, 0.045551, -0.0356676, 0.213948
0.01, 0.01, 0.01, 0.0456131, -0.0333306, 0.187598
0.01, 0.01, 0.01, 0.0500638, -0.0341168, 0.222523
0.01, 0.01, 0.01, 0.0634776, -0.0254325, 0.20144
0.01, 0.01, 0.01, 0.0632409, -0.0232468, 0.175078
0.01, 0.01, 0.01, 0.0494404, -0.0283606, 0.153096
0.01, 0.01, 0.01, 0.0712952, -0.0195051, 0.179252
0.01, 0.01, 0.01, 0.0707598, -0.017471, 0.152882
0.01, 0.01, 0.01, 0.0567181, -0.0227241, 0.131086
0.01, 0.01, 0.01, 0.0343157, -0.0333392, 0.121852
0.01, 0.01, 0.01, 0.0361807, -0.0427839, 0.240676
0.01, 0.01, 0.01, 0.058624, -0.0307181, 0.233567
0.01, 0.01, 0.01, 0.0727714, -0.0217143, 0.213108
0.01, 0.01, 0.01, 0.0734387, -0.019072, 0.186794
0.01, 0.01, 0.01, 0.0770903, -0.0202727, 0.2218
0.01, 0.01, 0.01, 0.0909976, -0.011373, 0.201132
0.01, 0.01, 0.01, 0.0913662, -0.00888114, 0.174798
0.01, 0.01, 0.01, 0.0780611, -0.0137102, 0.152449
0.01, 0.01, 0.01, 0.0993302, -0.00520523, 0.179198
0.01, 0.01, 0.01, 0.0994001, -0.00286427, 0.152848
0.01, 0.01, 0.01, 0.0858493, -0.00783425, 0.130678
0.01, 0.01, 0.01, 0.0636437, -0.0182939, 0.120813
0.01, 0.01, 0.01, 0.0944225, -0.00332537, 0.129108
0.01, 0.01, 0.01, 0.0806284, -0.00843546, 0.107121
0.01, 0.01, 0.01, 0.0583238, -0.0189727, 0.0975666
0.01, 0.01, 0.01, 0.0356824, -0.0310758, 0.103946
0.01, 0.01, 0.01, 0.0973993, -0.00830411, 0.203365
0.01, 0.01, 0.01, 0.111791, 0.000805094, 0.183123
0.01, 0.01, 0.01, 0.112765, 0.00360147, 0.156836
0.01, 0.01, 0.01, 0.0999637, -0.000939722, 0.134135
0.01, 0.01, 0.01, 0.120633, 0.00720915, 0.161458
0.01, 0.01, 0.01, 0.121308, 0.00985547, 0.135146
0.01, 0.01, 0.01, 0.108257, 0.00517182, 0.112617
0.01, 0.01, 0.01, 0.086263, -0.00512546, 0.102127
0.01, 0.01, 0.01, 0.116872, 0.00968037, 0.111295
0.01, 0.01, 0.01, 0.103574, 0.00485501, 0.0889415
0.01, 0.01, 0.01, 0.0814734, -0.00552325, 0.0787595
0.01, 0.01, 0.01, 0.05867, -0.0176513, 0.08448
0.01, 0.01, 0.01, 0.0875512, -0.0018325, 0.0719968
0.01, 0.01, 0.01, 0.0653482, -0.0122901, 0.0621237
0.01, 0.01, 0.01, 0.0426229, -0.0244068, 0.0681699
0.01, 0.01, 0.01, 0.027703, -0.0337424, 0.0879197
0.01, 0.01, 0.01, 0.127573, 0.0132393, 0.132979
0.01, 0.01, 0.01, 0.128853, 0.0161892, 0.106722
0.01, 0.01, 0.01, 0.11631, 0.011795, 0.0838483
0.01, 0.01, 0.01, 0.0945419, 0.0016669, 0.0727414
0.01, 0.01, 0.01, 0.124962, 0.0163002, 0.0827755
0.01, 0.01, 0.01, 0.112167, 0.0117628, 0.0600703
0.01, 0.01, 0.01, 0.0902857, 0.00155038, 0.0492672
0.01, 0.01, 0.01, 0.0673352, -0.0105947, 0.0543251
0.01, 0.01, 0.01, 0.096523, 0.0053064, 0.0426882
0.01, 0.01, 0.01, 0.0745315, -0.00498872, 0.0321907
0.01, 0.01, 0.01, 0.0516517, -0.0171264, 0.0375761
0.01, 0.01, 0.01, 0.0362679, -0.0266587, 0.0568708
0.01, 0.01, 0.01, 0.0530972, -0.0155514, 0.0279988
0.01, 0.01, 0.01, 0.0302918, -0.0276797, 0.0337108
0.01, 0.01, 0.01, 0.0151357, -0.0371157, 0.0532317
0.01, 0.01, 0.01, 0.0131829, -0.0404015, 0.079408
