0.022 0.00298223   -11.5332    0.44513    3.64532     1.4986    1.10861   0.499617
0.564 -nan -nan -nan -nan -nan -nan  nan
0.566 -nan -nan -nan -nan -nan -nan  nan
0.568 -nan -nan -nan -nan -nan -nan  nan
0.57 -nan -nan -nan -nan -nan -nan  nan
0.572 -nan -nan -nan -nan -nan -nan  nan
0.574 -nan -nan -nan -nan -nan -nan  nan
0.576 -nan -nan -nan -nan -nan -nan  nan
0.578 -nan -nan -nan -nan -nan -nan  nan
0.58 -nan -nan -nan -nan -nan -nan  nan
0.582 -nan -nan -nan -nan -nan -nan  nan
0.584 -nan -nan -nan -nan -nan -nan  nan
0.586 -nan -nan -nan -nan -nan -nan  nan
0.588 -nan -nan -nan -nan -nan -nan  nan
0.59 -nan -nan -nan -nan -nan -nan  nan
0.592 -nan -nan -nan -nan -nan -nan  nan
0.594 -nan -nan -nan -nan -nan -nan  nan
0.596 -nan -nan -nan -nan -nan -nan  nan
0.598 -nan -nan -nan -nan -nan -nan  nan
0.6 -nan -nan -nan -nan -nan -nan  nan
0.602 -nan -nan -nan -nan -nan -nan  nan
0.604 -nan -nan -nan -nan -nan -nan  nan
0.606 -nan -nan -nan -nan -nan -nan  nan
0.608 -nan -nan -nan -nan -nan -nan  nan
0.61 -nan -nan -nan -nan -nan -nan  nan
0.612 -nan -nan -nan -nan -nan -nan  nan
0.614 -nan -nan -nan -nan -nan -nan  nan
0.616 -nan -nan -nan -nan -nan -nan  nan
0.618 -nan -nan -nan -nan -nan -nan  nan
0.62 -nan -nan -nan -nan -nan -nan  nan
0.622 -nan -nan -nan -nan -nan -nan  nan
0.624 -nan -nan -nan -nan -nan -nan  nan
0.626 -nan -nan -nan -nan -nan -nan  nan
0.628 -nan -nan -nan -nan -nan -nan  nan
0.63 -nan -nan -nan -nan -nan -nan  nan
0.632 -nan -nan -nan -nan -nan -nan  nan
0.634 -nan -nan -nan -nan -nan -nan  nan
0.636 -nan -nan -nan -nan -nan -nan  nan
0.638 -nan -nan -nan -nan -nan -nan  nan
0.64 -nan -nan -nan -nan -nan -nan  nan
0.642 -nan -nan -nan -nan -nan -nan  nan
0.644 -nan -nan -nan -nan -nan -nan  nan
0.646 -nan -nan -nan -nan -nan -nan  nan
0.648 -nan -nan -nan -nan -nan -nan  nan
0.65 -nan -nan -nan -nan -nan -nan  nan
0.652 -nan -nan -nan -nan -nan -nan  nan
0.654 -nan -nan -nan -nan -nan -nan  nan
0.656 -nan -nan -nan -nan -nan -nan  nan
0.658 -nan -nan -nan -nan -nan -nan  nan
0.66 -nan -nan -nan -nan -nan -nan  nan
0.662 -nan -nan -nan -nan -nan -nan  nan
0.664 -nan -nan -nan -nan -nan -nan  nan
0.666 -nan -nan -nan -nan -nan -nan  nan
0.668 -nan -nan -nan -nan -nan -nan  nan
0.67 -nan -nan -nan -nan -nan -nan  nan
0.672 -nan -nan -nan -nan -nan -nan  nan
0.674 -nan -nan -nan -nan -nan -nan  nan
0.676 -nan -nan -nan -nan -nan -nan  nan
0.678 -nan -nan -nan -nan -nan -nan  nan
0.68 -nan -nan -nan -nan -nan -nan  nan
0.682 -nan -nan -nan -nan -nan -nan  nan
0.684 -nan -nan -nan -nan -nan -nan  nan
0.686 -nan -nan -nan -nan -nan -nan  nan
0.688 -nan -nan -nan -nan -nan -nan  nan
0.69 -nan -nan -nan -nan -nan -nan  nan
0.692 -nan -nan -nan -nan -nan -nan  nan
0.694 -nan -nan -nan -nan -nan -nan  nan
0.696 -nan -nan -nan -nan -nan -nan  nan
0.698 -nan -nan -nan -nan -nan -nan  nan
0.7 -nan -nan -nan -nan -nan -nan  nan
0.703 -nan -nan -nan -nan -nan -nan  nan
0.704 -nan -nan -nan -nan -nan -nan  nan
0.706 -nan -nan -nan -nan -nan -nan  nan
0.708 -nan -nan -nan -nan -nan -nan  nan
0.711 -nan -nan -nan -nan -nan -nan  nan
0.712 -nan -nan -nan -nan -nan -nan  nan
0.714 -nan -nan -nan -nan -nan -nan  nan
0.716 -nan -nan -nan -nan -nan -nan  nan
0.718 -nan -nan -nan -nan -nan -nan  nan
0.72 -nan -nan -nan -nan -nan -nan  nan
0.722 -nan -nan -nan -nan -nan -nan  nan
0.724 -nan -nan -nan -nan -nan -nan  nan
0.726 -nan -nan -nan -nan -nan -nan  nan
0.728 -nan -nan -nan -nan -nan -nan  nan
0.73 -nan -nan -nan -nan -nan -nan  nan
0.732 -nan -nan -nan -nan -nan -nan  nan
0.734 -nan -nan -nan -nan -nan -nan  nan
0.737 -nan -nan -nan -nan -nan -nan  nan
0.738 -nan -nan -nan -nan -nan -nan  nan
0.74 -nan -nan -nan -nan -nan -nan  nan
0.742 -nan -nan -nan -nan -nan -nan  nan
0.744 -nan -nan -nan -nan -nan -nan  nan
0.746 -nan -nan -nan -nan -nan -nan  nan
0.748 -nan -nan -nan -nan -nan -nan  nan
0.75 -nan -nan -nan -nan -nan -nan  nan
0.752 -nan -nan -nan -nan -nan -nan  nan
0.754 -nan -nan -nan -nan -nan -nan  nan
0.756 -nan -nan -nan -nan -nan -nan  nan
0.758 -nan -nan -nan -nan -nan -nan  nan
0.76 -nan -nan -nan -nan -nan -nan  nan
0.762 -nan -nan -nan -nan -nan -nan  nan
0.764 -nan -nan -nan -nan -nan -nan  nan
0.766 -nan -nan -nan -nan -nan -nan  nan
0.768 -nan -nan -nan -nan -nan -nan  nan
0.77 -nan -nan -nan -nan -nan -nan  nan
0.772 -nan -nan -nan -nan -nan -nan  nan
