a, b, c, offset_x, offset_y, offset_z
0.01, 0.01, 0.01, 0.0156399, -1.73542e-08, 0.231226
0.01, 0.01, 0.01, -0.00305659, 3.22586e-08, 0.246124
0.01, 0.01, 0.01, 0.0168131, -2.04674e-08, 0.244042
0.01, 0.01, 0.01, 0.03368, -6.52251e-08, 0.233335
0.01, 0.01, 0.01, 0.0440187, -9.26599e-08, 0.21624
0.01, 0.01, 0.01, 0.0341126, -6.63732e-08, 0.237996
0.022, 0.014, 0.01, 0.050877, -1.10859e-07, 0.227129
0.019, 0.019, 0.011, 0.0610529, -1.37862e-07, 0.209937
0.01, 0.01, 0.01, 0.0625134, -1.41737e-07, 0.190012
0.025, 0.019, 0.01, 0.0635527, -1.44495e-07, 0.213895
0.025, 0.023, 0.01, 0.0735648, -1.71063e-07, 0.196606
0.016, 0.025, 0.012, 0.074836, -1.74436e-07, 0.176668
0.01, 0.01, 0.01, 0.0671006, -1.5391e-07, 0.158248
0.01, 0.01, 0.01, 0.0195376, -2.7697e-08, 0.245358
0.01, 0.01, 0.01, 0.0394437, -8.05196e-08, 0.243659
0.01, 0.01, 0.01, 0.0565135, -1.25816e-07, 0.233279
0.024, 0.021, 0.011, 0.0671794, -1.54119e-07, 0.216385
0.01, 0.01, 0.01, 0.0568563, -1.26726e-07, 0.237948
0.01, 0.01, 0.01, 0.0738268, -1.71758e-07, 0.227405
0.014, 0.029, 0.01, 0.0843317, -1.99634e-07, 0.210412
0.03, 0.028, 0.019, 0.0861755, -2.04527e-07, 0.190518
0.01, 0.01, 0.01, 0.0867549, -2.06064e-07, 0.214417
0.015, 0.034, 0.01, 0.0970979, -2.3351e-07, 0.197325
0.029, 0.033, 0.013, 0.0987526, -2.37901e-07, 0.177415
0.033, 0.03, 0.011, 0.0913733, -2.18319e-07, 0.158849
0.023, 0.036, 0.01, 0.102729, -2.48453e-07, 0.179886
0.031, 0.035, 0.015, 0.104195, -2.52342e-07, 0.159961
0.04, 0.03, 0.017, 0.0966392, -2.32293e-07, 0.141466
0.027, 0.026, 0.012, 0.0816419, -1.92497e-07, 0.128267
0.01, 0.01, 0.01, 0.0768523, -1.79787e-07, 0.2274
0.01, 0.01, 0.01, 0.0940225, -2.2535e-07, 0.217187
0.01, 0.01, 0.01, 0.104853, -2.54088e-07, 0.200398
0.017, 0.038, 0.012, 0.107079, -2.59996e-07, 0.180544
0.01, 0.01, 0.01, 0.107198, -2.60313e-07, 0.20445
0.01, 0.01, 0.01, 0.117868, -2.88627e-07, 0.187559
0.011, 0.044, 0.01, 0.119906, -2.94034e-07, 0.167685
0.026, 0.04, 0.016, 0.112885, -2.75404e-07, 0.148981
0.01, 0.01, 0.01, 0.123834, -3.04457e-07, 0.170232
0.014, 0.046, 0.01, 0.125683, -3.09363e-07, 0.15034
0.025, 0.042, 0.021, 0.118485, -2.90263e-07, 0.131703
0.041, 0.034, 0.013, 0.103745, -2.51148e-07, 0.118217
0.02, 0.044, 0.02, 0.123141, -3.02618e-07, 0.132191
0.029, 0.04, 0.016, 0.115766, -2.83048e-07, 0.113624
0.041, 0.032, 0.021, 0.100898, -2.43595e-07, 0.100279
0.028, 0.027, 0.011, 0.0816449, -1.92504e-07, 0.0949459
0.01, 0.01, 0.01, 0.120589, -2.95845e-07, 0.186235
0.01, 0.01, 0.01, 0.131582, -3.25017e-07, 0.169553
0.01, 0.01, 0.01, 0.134002, -3.31438e-07, 0.149722
0.016, 0.046, 0.02, 0.127342, -3.13767e-07, 0.130886
0.01, 0.01, 0.01, 0.13788, -3.41729e-07, 0.152344
0.01, 0.01, 0.01, 0.140111, -3.47651e-07, 0.132491
0.011, 0.046, 0.011, 0.133273, -3.29505e-07, 0.113719
0.023, 0.042, 0.016, 0.118795, -2.91086e-07, 0.099952
0.01, 0.01, 0.01, 0.137919, -3.41833e-07, 0.114297
0.01, 0.01, 0.01, 0.130903, -3.23216e-07, 0.0955906
0.018, 0.042, 0.011, 0.116295, -2.84452e-07, 0.0819621
0.035, 0.032, 0.01, 0.0971478, -2.33643e-07, 0.0762594
0.013, 0.044, 0.011, 0.120698, -2.96134e-07, 0.08037
0.017, 0.037, 0.011, 0.105961, -2.57028e-07, 0.0668808
0.032, 0.027, 0.01, 0.08676, -2.06078e-07, 0.0613603
0.039, 0.017, 0.01, 0.067109, -1.53932e-07, 0.0649622
0.01, 0.01, 0.01, -0.038523, -0.011402, 0.236508
0.01, 0.01, 0.01, -0.0203832, -0.0070589, 0.243665
0.01, 0.01, 0.01, -0.00104129, -0.00242804, 0.241773
0.01, 0.01, 0.01, 0.0154602, 0.00152276, 0.231226
0.01, 0.01, 0.01, -0.00272246, -0.00283054, 0.246124
0.01, 0.01, 0.01, 0.0166011, 0.00179592, 0.244042
0.01, 0.01, 0.01, 0.0330044, 0.00572321, 0.233335
0.01, 0.01, 0.01, 0.043059, 0.00813048, 0.21624
0.01, 0.01, 0.01, 0.0334251, 0.00582395, 0.237996
0.01, 0.01, 0.01, 0.0497287, 0.00972737, 0.227129
0.01, 0.01, 0.01, 0.0596249, 0.0120967, 0.209937
0.01, 0.01, 0.01, 0.0610453, 0.0124368, 0.190012
0.01, 0.01, 0.01, 0.0620561, 0.0126788, 0.213895
0.01, 0.01, 0.01, 0.071793, 0.01501, 0.196606
0.01, 0.01, 0.01, 0.0730292, 0.015306, 0.176668
0.01, 0.01, 0.01, 0.0655065, 0.0135049, 0.158248
0.01, 0.01, 0.01, 0.0192507, 0.00243029, 0.245358
0.01, 0.01, 0.01, 0.0386097, 0.00706523, 0.243659
0.01, 0.01, 0.01, 0.0552103, 0.0110398, 0.233279
0.01, 0.01, 0.01, 0.0655831, 0.0135232, 0.216385
0.01, 0.01, 0.01, 0.0555437, 0.0111196, 0.237948
0.01, 0.01, 0.01, 0.0720477, 0.015071, 0.227405
0.013, 0.01, 0.011, 0.0822639, 0.017517, 0.210412
0.016, 0.01, 0.018, 0.0840571, 0.0179463, 0.190518
0.01, 0.01, 0.01, 0.0846206, 0.0180812, 0.214417
0.016, 0.012, 0.01, 0.0946793, 0.0204895, 0.197325
0.023, 0.01, 0.029, 0.0962885, 0.0208748, 0.177415
0.02, 0.01, 0.015, 0.089112, 0.0191565, 0.158849
0.023, 0.011, 0.012, 0.100156, 0.0218006, 0.179886
0.028, 0.01, 0.011, 0.101581, 0.0221419, 0.159961
0.022, 0.01, 0.036, 0.0942331, 0.0203827, 0.141466
0.014, 0.01, 0.012, 0.0796481, 0.0168907, 0.128267
0.01, 0.01, 0.01, 0.0749901, 0.0157755, 0.2274
0.01, 0.01, 0.01, 0.0916884, 0.0197734, 0.217187
0.01, 0.01, 0.01, 0.102221, 0.0222951, 0.200398
0.018, 0.013, 0.012, 0.104386, 0.0228135, 0.180544
0.01, 0.01, 0.01, 0.104502, 0.0228412, 0.20445
0.01, 0.01, 0.01, 0.114879, 0.0253257, 0.187559
0.013, 0.012, 0.01, 0.116861, 0.0258001, 0.167685
0.027, 0.011, 0.02, 0.110033, 0.0241654, 0.148981
0.01, 0.01, 0.01, 0.120681, 0.0267147, 0.170232
0.015, 0.016, 0.01, 0.122479, 0.0271452, 0.15034
0.025, 0.013, 0.028, 0.115478, 0.0254692, 0.131703
0.026, 0.01, 0.054, 0.101143, 0.0220371, 0.118217
0.021, 0.015, 0.02, 0.120007, 0.0265533, 0.132191
0.03, 0.011, 0.012, 0.112834, 0.0248362, 0.113624
0.024, 0.01, 0.054, 0.0983753, 0.0213744, 0.100279
0.016, 0.01, 0.01, 0.079651, 0.0168914, 0.0949459
0.01, 0.01, 0.01, 0.117524, 0.025959, 0.186235
0.01, 0.01, 0.01, 0.128215, 0.0285187, 0.169553
0.01, 0.01, 0.01, 0.130569, 0.0290822, 0.149722
0.017, 0.016, 0.022, 0.124092, 0.0275316, 0.130886
0.01, 0.01, 0.01, 0.134341, 0.0299852, 0.152344
0.01, 0.01, 0.01, 0.136511, 0.0305047, 0.132491
0.013, 0.013, 0.012, 0.129861, 0.0289126, 0.113719
0.024, 0.013, 0.015, 0.11578, 0.0255415, 0.099952
0.01, 0.01, 0.01, 0.134379, 0.0299943, 0.114297
0.011, 0.011, 0.015, 0.127555, 0.0283607, 0.0955906
0.019, 0.014, 0.01, 0.113349, 0.0249593, 0.0819621
0.022, 0.01, 0.03, 0.0947278, 0.0205011, 0.0762594
0.014, 0.015, 0.011, 0.11763, 0.0259844, 0.08037
0.019, 0.012, 0.01, 0.103298, 0.0225531, 0.0668808
0.016, 0.01, 0.021, 0.0846255, 0.0180824, 0.0613603
0.01, 0.01, 0.01, 0.0655146, 0.0135068, 0.0649622
