a, b, c, offset_x, offset_y, offset_z
0.031, 0.035, 0.015, 0.104195, -0.0493132, 0.15747
0.04, 0.031, 0.017, 0.0966392, -0.0477013, 0.139046
0.027, 0.027, 0.01, 0.0816419, -0.0465508, 0.125897
0.01, 0.01, 0.01, 0.0768523, -0.0551908, 0.224653
0.01, 0.01, 0.01, 0.0940225, -0.0543007, 0.214478
0.01, 0.01, 0.01, 0.104853, -0.0528375, 0.197753
0.017, 0.039, 0.011, 0.107079, -0.0511071, 0.177975
0.01, 0.01, 0.01, 0.107198, -0.0531907, 0.20179
0.01, 0.01, 0.01, 0.117868, -0.0517186, 0.184963
0.011, 0.039, 0.012, 0.119906, -0.0499864, 0.165165
0.026, 0.039, 0.023, 0.112885, -0.0483562, 0.146532
0.01, 0.01, 0.01, 0.123834, -0.0502084, 0.167702
0.014, 0.032, 0.01, 0.125683, -0.0484747, 0.147885
0.025, 0.043, 0.012, 0.118485, -0.0468504, 0.129319
0.041, 0.034, 0.02, 0.103745, -0.045675, 0.115885
0.02, 0.047, 0.01, 0.123141, -0.0468929, 0.129806
0.029, 0.04, 0.016, 0.115766, -0.0452747, 0.111309
0.041, 0.032, 0.021, 0.100898, -0.0441115, 0.098015
0.028, 0.027, 0.01, 0.0816449, -0.0436467, 0.0927022
0.01, 0.01, 0.01, 0.120589, -0.0516032, 0.183644
0.01, 0.01, 0.01, 0.131582, -0.0501493, 0.167026
0.01, 0.01, 0.01, 0.134002, -0.0484209, 0.14727
0.016, 0.047, 0.016, 0.127342, -0.0467792, 0.128506
0.01, 0.01, 0.01, 0.13788, -0.0486494, 0.149882
0.01, 0.01, 0.01, 0.140111, -0.0469191, 0.130104
0.011, 0.039, 0.01, 0.133273, -0.045283, 0.111404
0.023, 0.042, 0.016, 0.118795, -0.0440831, 0.0976893
0.01, 0.01, 0.01, 0.137919, -0.0453334, 0.111979
0.01, 0.01, 0.01, 0.130903, -0.043703, 0.0933446
0.018, 0.041, 0.01, 0.116295, -0.0425152, 0.0797679
0.035, 0.032, 0.01, 0.0971478, -0.0420181, 0.0740869
0.013, 0.039, 0.01, 0.120698, -0.0423764, 0.0781818
0.017, 0.038, 0.01, 0.105961, -0.0412007, 0.064744
0.032, 0.028, 0.01, 0.0867601, -0.0407195, 0.0592445
0.039, 0.017, 0.01, 0.067109, -0.0410334, 0.0628327
0.01, 0.01, 0.01, -0.0385231, -0.067343, 0.232732
0.01, 0.01, 0.01, -0.0203832, -0.0636403, 0.240241
0.01, 0.01, 0.01, -0.00104132, -0.0588621, 0.238759
0.01, 0.01, 0.01, 0.0154601, -0.0540071, 0.228597
0.01, 0.01, 0.01, -0.00272249, -0.0596423, 0.243058
0.01, 0.01, 0.01, 0.0166011, -0.054852, 0.241388
