# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 66775
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 66775
DATA ascii
0.27722818 -0.011856861 0.51290512
0.27803624 -0.011247683 0.51211363
0.27897188 -0.010773722 0.51244581
0.27990752 -0.010299761 0.51277792
0.2808432 -0.0098257996 0.51311004
0.28164011 -0.0092222355 0.51231468
0.28257355 -0.0087493993 0.51264596
0.28350699 -0.0082765631 0.51297736
0.28444043 -0.0078037269 0.5133087
0.28537387 -0.0073308907 0.51364005
0.28630728 -0.006858062 0.51397139
0.28708875 -0.0062623546 0.51317048
0.28801996 -0.0057906508 0.51350105
0.28895116 -0.0053189397 0.51383162
0.28988236 -0.0048472211 0.51416218
0.29081357 -0.0043755099 0.51449275
0.29158175 -0.0037865266 0.51368713
0.29251075 -0.0033159405 0.51401687
0.29343975 -0.0028453469 0.5143466
0.29436874 -0.0023747608 0.51467645
0.29512578 -0.0017913952 0.51386684
0.29605252 -0.0013219342 0.5141958
0.29697931 -0.00085245818 0.51452482
0.29772747 -0.0002736114 0.51371217
0.29847121 0.00030300766 0.51289779
0.29939356 0.00077022612 0.5132252
0.30031592 0.0012374446 0.51355267
0.30123827 0.0017046705 0.51388001
0.30197093 0.0022756532 0.51306188
0.30289108 0.0027417541 0.51338851
-0.1428391 -0.24608734 0.48772782
-0.14096794 -0.24494249 0.48731381
-0.13977733 -0.24433938 0.48773646
-0.13791293 -0.24319795 0.4873201
-0.1367245 -0.24259594 0.48774195
-0.1355361 -0.24199393 0.4881638
-0.13368052 -0.24085698 0.48774433
-0.13249436 -0.2402561 0.48816541
-0.13064542 -0.23912254 0.48774359
-0.12946147 -0.2385228 0.48816386
-0.12761924 -0.23739257 0.48773965
-0.12643752 -0.23679397 0.48815915
-0.12460181 -0.23566708 0.48773256
-0.12342224 -0.23506957 0.48815125
-0.12159336 -0.23394611 0.48772234
-0.12041602 -0.23334974 0.48814026
-0.11859372 -0.23222962 0.48770896
-0.11741862 -0.23163438 0.4881261
-0.11560297 -0.23051769 0.48769245
-0.11443004 -0.22992355 0.48810881
-0.11262104 -0.22881016 0.48767275
-0.11145037 -0.22821715 0.48808828
-0.10964802 -0.22710717 0.48764995
-0.10785013 -0.22599944 0.48720998
-0.10668388 -0.22540867 0.48762396
-0.10551766 -0.2248179 0.48803797
-0.10372862 -0.22371465 0.48759487
-0.1025646 -0.22312501 0.48800808
-0.10140052 -0.22253534 0.48842129
-0.099620372 -0.22143659 0.48797503
-0.098458558 -0.22084808 0.48838747
-0.096685022 -0.21975267 0.48793879
-0.095525444 -0.21916527 0.48835042
-0.094365865 -0.21857786 0.48876205
-0.09260121 -0.21748698 0.48831031
-0.091443807 -0.21690071 0.48872116
-0.090286463 -0.21631444 0.48913202
-0.089129061 -0.21572816 0.48954284
-0.087375492 -0.21464288 0.48908713
-0.086220354 -0.21405774 0.48949721
-0.085065216 -0.21347257 0.48990726
-0.083910048 -0.21288744 0.49031731
-0.08275491 -0.21230227 0.49072739
-0.081599742 -0.21171713 0.49113742
-0.080444574 -0.21113199 0.4915475
-0.079289436 -0.21054685 0.49195755
-0.078134269 -0.20996168 0.4923676
-0.076402903 -0.20888764 0.49190405
-0.07524997 -0.20830363 0.49231333
-0.07352522 -0.20723295 0.4918474
-0.072374493 -0.20665005 0.49225587
-0.070656389 -0.20558268 0.49178755
-0.069507867 -0.20500091 0.49219525
-0.068359405 -0.20441914 0.49260294
-0.066650152 -0.20335633 0.4921315
-0.06494537 -0.20229572 0.49165851
-0.063801318 -0.20171621 0.49206463
-0.062103182 -0.20065901 0.49158925
-0.060961336 -0.2000806 0.49199459
-0.059269816 -0.19902675 0.49151683
-0.058130175 -0.19844945 0.49192137
-0.056990534 -0.19787218 0.4923259
-0.055850893 -0.19729491 0.49273047
-0.054170519 -0.19624667 0.4922488
-0.053033084 -0.1956705 0.49265257
-0.051895678 -0.19509436 0.49305633
-0.050758272 -0.19451819 0.49346009
-0.049088955 -0.19347559 0.49297446
-0.047953725 -0.19290055 0.49337745
-0.046818554 -0.19232552 0.4937804
-0.045683354 -0.19175045 0.49418339
-0.044025123 -0.19071348 0.49369386
-0.042892128 -0.19013955 0.49409607
-0.041759163 -0.18956564 0.49449825
-0.040626168 -0.18899171 0.49490044
-0.039493203 -0.18841781 0.49530262
-0.037848264 -0.18738754 0.49480835
-0.036717534 -0.18681477 0.49520975
-0.035079211 -0.18578784 0.4947131
-0.033950657 -0.1852162 0.4951137
-0.032822102 -0.18464451 0.4955143
-0.03119269 -0.18362212 0.49501455
-0.029567748 -0.182602 0.49451321
-0.028443605 -0.18203257 0.49491224
-0.027319521 -0.18146314 0.49531129
-0.025703415 -0.18044749 0.4948068
-0.024581522 -0.17987919 0.49520507
-0.023459613 -0.17931087 0.49560332
-0.02233772 -0.17874257 0.49600157
-0.020732686 -0.17773253 0.49549308
-0.019613013 -0.17716536 0.49589053
-0.018493325 -0.17659816 0.496288
