# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1
HEIGHT 12136
VIEWPOINT 0 0 0 1 0 0 0
POINTS 12136
DATA ascii
0.057794318 -0.13551739 0.40670171
0.059066221 -0.13551635 0.40635175
0.060338125 -0.13551532 0.40600178
0.061131746 -0.13517585 0.40476373
0.061920375 -0.13483641 0.40352711
0.063187271 -0.13483536 0.40317851
0.06396836 -0.13449594 0.40194395
0.065232724 -0.13449492 0.40159607
0.066006273 -0.13415548 0.40036359
0.067268133 -0.13415445 0.40001637
0.047549516 -0.13319992 0.40653545
0.049269527 -0.1335347 0.40708196
0.050536394 -0.13353366 0.40673336
0.052263945 -0.13386846 0.40727779
0.053996578 -0.13420326 0.40782085
0.055734187 -0.13453802 0.40836251
0.057008594 -0.13453698 0.40801185
0.058753744 -0.13487175 0.40855142
0.059557423 -0.13453491 0.40731052
0.060831845 -0.13453387 0.40695983
0.061627984 -0.13419703 0.40572101
0.062899888 -0.13419598 0.40537104
0.063688457 -0.13385914 0.40413424
0.064472035 -0.1335223 0.40289885
0.065738916 -0.13352127 0.40255025
0.066514939 -0.13318445 0.40131697
0.067779303 -0.13318342 0.40096906
0.068547815 -0.13284659 0.39973781
0.069809645 -0.13284557 0.39939061
0.071071506 -0.13284454 0.39904341
0.045852363 -0.1315583 0.40605623
0.048020542 -0.13222371 0.40749946
0.049743101 -0.13255589 0.40804541
0.051470727 -0.13288811 0.40858999
0.05274263 -0.13288707 0.40824002
0.054940999 -0.13355245 0.40967497
0.05668366 -0.13388461 0.41021535
0.057963103 -0.13388357 0.40986329
0.059242547 -0.13388252 0.40951127
0.06052199 -0.13388148 0.40915921
0.061325639 -0.13354723 0.40791818
0.062602565 -0.13354619 0.40756682
0.063398674 -0.13321194 0.40632784
0.064189762 -0.13287774 0.40509024
0.064975768 -0.13254347 0.40385401
0.066245168 -0.13254243 0.40350473
0.06702368 -0.13220821 0.40227059
0.068290561 -0.13220719 0.40192202
0.069557428 -0.13220616 0.40157342
0.070325881 -0.13187194 0.40034205
0.071590275 -0.13187091 0.39999413
0.073358059 -0.13220306 0.40052763
0.074624926 -0.13220201 0.40017906
0.046771556 -0.13091271 0.40791699
0.048491642 -0.13124229 0.40846378
0.050216794 -0.13157189 0.40900919
0.051946938 -0.13190146 0.4095532
0.053682089 -0.13223103 0.41009581
0.055422291 -0.1325606 0.41063702
0.057167545 -0.13289019 0.41117692
0.058449507 -0.13288915 0.41082418
0.059731454 -0.13288811 0.41047144
0.061013415 -0.13288707 0.4101187
0.062295377 -0.13288602 0.40976596
0.063098937 -0.13255434 0.40852472
0.064378381 -0.13255329 0.40817267
0.06517446 -0.13222167 0.40693358
0.065965503 -0.13189003 0.40569586
0.06675154 -0.13155842 0.40445951
0.06753248 -0.13122676 0.4032245
0.06880188 -0.13122572 0.40287521
0.06957534 -0.13089412 0.40164235
0.070842206 -0.13089308 0.40129375
0.072109073 -0.13089205 0.40094516
0.07337594 -0.13089103 0.40059656
0.075148821 -0.13122055 0.4011288
0.076418191 -0.13121951 0.40077952
0.063149214 -0.14764859 0.45959648
0.044255704 -0.12960275 0.40868309
0.047690958 -0.13025674 0.40977833
0.049416095 -0.13058372 0.41032386
0.051146269 -0.13091068 0.41086799
0.052423194 -0.13090964 0.41051665
0.054160908 -0.13123661 0.41105869
0.055903703 -0.13156357 0.41159943
0.05765146 -0.13189055 0.41213873
0.059404254 -0.1322175 0.4126766
0.060691237 -0.13221645 0.41232249
0.061504871 -0.13188741 0.41107842
0.062789351 -0.13188636 0.41072497
0.063595444 -0.13155732 0.40948296
0.064877391 -0.13155627 0.40913022
0.065675914 -0.13122723 0.40789023
0.066955358 -0.13122618 0.40753818
0.067257941 -0.13056916 0.40541452
0.068532348 -0.13056813 0.40506387
0.069313303 -0.13023911 0.40382874
0.070585221 -0.13023807 0.40347877
0.071358591 -0.12990904 0.40224573
0.073129028 -0.130236 0.40277883
0.073897362 -0.12990697 0.40154716
0.075672835 -0.13023393 0.40207887
0.076944709 -0.13023289 0.4017289
0.078216642 -0.13023184 0.40137893
0.046437025 -0.12894052 0.4101975
0.048610449 -0.12959033 0.4116402
0.050340652 -0.1299147 0.41218445
0.051620096 -0.12991366 0.41183239
0.053357884 -0.13023803 0.41237465
0.05510065 -0.13056238 0.41291547
0.056848466 -0.13088673 0.41345486
0.058601305 -0.13121109 0.41399294
0.059890807 -0.13121003 0.41363811
0.061180294 -0.13120899 0.41328329
0.06246981 -0.13120793 0.41292849
0.063283384 -0.13088149 0.41168424
0.064570367 -0.13088045 0.41133013
0.065376431 -0.13055399 0.410088
0.066660911 -0.13055295 0.40973458
0.067459419 -0.13022652 0.4084945
0.068252861 -0.12990008 0.40725574
0.069041327 -0.12957367 0.40601847
0.070318252 -0.12957263 0.4056671
0.071099192 -0.12924619 0.40443185
0.072373599 -0.12924515 0.4040812
0.073146969 -0.12891875 0.40284804
0.074418873 -0.12891771 0.40249804
0.075690806 -0.12891668 0.40214807
0.07696268 -0.12891564 0.4017981
0.078234583 -0.12891459 0.40144813
0.079506516 -0.12891357 0.40109816
0.043911189 -0.12762536 0.41096666
0.047351554 -0.12826891 0.41206101
0.049530119 -0.12891349 0.4135026
0.050812081 -0.12891245 0.41314986
0.052549869 -0.12923422 0.41369221
0.054292664 -0.12955597 0.41423315
0.056040525 -0.12987772 0.41477272
0.057793379 -0.13019946 0.41531092
0.059085399 -0.1301984 0.41495541
0.060377419 -0.13019736 0.4145999
0.061669424 -0.1301963 0.41424438
0.062961429 -0.13019525 0.41388887
0.064253449 -0.1301942 0.41353336
0.065067023 -0.12987036 0.41228899
0.06635651 -0.1298693 0.4119342
0.067162514 -0.12954548 0.41069189
0.067963511 -0.12922166 0.40945101
0.069247991 -0.12922062 0.40909758
0.070041448 -0.12889677 0.40785876
0.070829839 -0.12857294 0.40662125
0.072109282 -0.1285719 0.40626919
0.072890162 -0.12824808 0.40503386
0.074167103 -0.12824704 0.40468249
0.074940413 -0.12792324 0.40344921
0.07621485 -0.12792219 0.40309852
0.077489257 -0.12792115 0.40274787
0.078763694 -0.12792012 0.40239719
0.0800381 -0.12791908 0.40204653
0.081312537 -0.12791803 0.40169585
0.044815734 -0.12694857 0.41283321
0.048266262 -0.1275869 0.41392511
0.049999058 -0.12790607 0.41446897
0.051736876 -0.12822524 0.41501141
0.053479746 -0.12854436 0.41555253
0.055227607 -0.12886353 0.41609222
